"","Operator","latitude","longitude","CITY","STREET","HOUSENUMBER","DISTRICT","COUNTRY","ZIP"
"1","Allego",52.513388,13.415578,"Berlin","Am Köllnischen Park","3","Mitte","DE","10179"
"2","Allego",52.438486,13.262563,"Berlin","Clayallee","326","Steglitz-Zehlendorf","DE","14169"
"3","Allego",52.511975,13.474964,"Berlin","Scharnweberstr.","1A","Friedrichshain-Kreuzberg","DE","10247"
"4","Allego",52.4325807,13.5276933,"Berlin","Abram-Joffe-Str.","18","Treptow-Köpenick","DE","12489"
"5","Allego",52.533272,13.195482,"Berlin","Wilhelmshavener Str.","27","Spandau","DE","13581"
"6","Allego",52.553752,13.408519,"Berlin","Schönfließer Str.","9","Pankow","DE","10439"
"7","Allego",52.487809,13.302828,"Berlin","Rudolstädter Str.","123","Charlottenburg-Wilmersdorf","DE","10713"
"8","Allego",52.519445,13.286601,"Berlin","Sophie-Charlotten-Str..","105D","Charlottenburg-Wilmersdorf","DE","14059"
"9","Allego",52.502519,13.432597,"Berlin","Eisenbahnstr.","39","Friedrichshain-Kreuzberg","DE","10997"
"10","Allego",52.493476,13.413538,"Berlin","Grimmstr.","9","Friedrichshain-Kreuzberg","DE","10967"
"11","Allego",52.498081,13.42939,"Berlin","Lausitzer Str.","6","Friedrichshain-Kreuzberg","DE","10999"
"12","Allego",52.464278,13.330027,"Berlin","Schöneberger Str.","4","Steglitz-Zehlendorf","DE","12163"
"13","Allego",52.490197,13.419889,"Berlin","Schönleinstr.","20","Friedrichshain-Kreuzberg","DE","10967"
"14","Allego",52.525626,13.428995,"Berlin","Büschingstr.","1","Friedrichshain-Kreuzberg","DE","10249"
"15","Allego",52.552103,13.413783,"Berlin","Paul-Robeson-Str.","50","Pankow","DE","10439"
"16","Allego",52.50789,13.449568,"Berlin","Marchlewskistr.","107","Friedrichshain-Kreuzberg","DE","10243"
"17","Allego",52.495371,13.308887,"Berlin","Wittelsbacher Str.","19","Charlottenburg-Wilmersdorf","DE","10707"
"18","Allego",52.481323,13.318856,"Berlin","Aachener Str.","5","Charlottenburg-Wilmersdorf","DE","10713"
"19","Allego",52.501687,13.305567,"Berlin","Waitzstr.","7","Charlottenburg-Wilmersdorf","DE","10629"
"20","Allego",52.55057,13.429248,"Berlin","Krügerstr.","25","Pankow","DE","10439"
"21","Allego",52.48131189,13.32960539,"Berlin","Durlacher Str.","35","Charlottenburg-Wilmersdorf","DE","10715"
"22","Allego",52.440122,13.316541,"Berlin","Hindenburgdamm","96","Steglitz-Zehlendorf","DE","12203"
"23","Allego",52.428739,13.451926,"Berlin","Johannisthaler Chaussee","335","Neukölln","DE","12351"
"24","Allego",52.505876,13.317669,"Berlin","Schlüterstr.","62","Charlottenburg-Wilmersdorf","DE","10625"
"25","Allego",52.507096,13.285287,"Berlin","Herbartstr.","15","Charlottenburg-Wilmersdorf","DE","14057"
"26","Allego",52.494521,13.323631,"Berlin","Uhlandstr.","61","Charlottenburg-Wilmersdorf","DE","10719"
"27","Allego",52.494063,13.423077,"Berlin","Spremberger Str.","7","Neukölln","DE","12047"
"28","Allego",52.495127,13.383722,"Berlin","Wartenburgstr.","24","Friedrichshain/Kreuzberg","DE","10963"
"29","Allego",52.489075,13.392945,"Berlin","Schenkendorfstr.","8","Friedrichshain-Kreuzberg","DE","10965"
"30","Allego",52.515183,13.450787,"Berlin","Kadiner Str.","1","Friedrichshain/Kreuzberg","DE","10243"
"31","Allego",52.446983,13.306709,"Berlin","Moltkestr.","51","Steglitz-Zehlendorf","DE","12203"
"32","Allego",52.521066,13.434841,"Berlin","Friedrichsberger Str.","24","Friedrichshain/Kreuzberg","DE","10243"
"33","Allego",52.500008,13.407592,"Berlin","Wassertorstr.","53","Friedrichshain-Kreuzberg","DE","10969"
"34","Allego",52.567806,13.425986,"Berlin","Kissingenstr.","26","Pankow","DE","13189"
"35","Allego",52.535618,13.431859,"Berlin","Chodowiekistr.","ggü. 1","Pankow","DE","10405"
"36","Allego",52.472172,13.308104,"Berlin","Schlangenbader Str.","26"," Charlottenburg-Wilmersdorf","DE","14197"
"37","Allego",52.546751,13.424988,"Berlin","Wichertstr.","34","Pankow","DE","10439"
"38","Allego",52.485832,13.433537,"Berlin","Jansastr.","13","Neukölln","DE","12045"
"39","Allego",52.520102,13.437725,"Berlin","Koppenstr.","46","Friedrichshain/Kreuzberg","DE","10243"
"40","Allego",52.498568,13.419909,"Berlin","Reichenberger Str.","20","Friedrichshain-Kreuzberg","DE","10999"
"41","Allego",52.485678,13.425589,"Berlin","Karl-Marx-Str.","ggü. 9","Neukölln","DE","12043"
"42","Allego",52.524128,13.448454,"Berlin","Kochhannstr.","9","null","DE","10249"
"43","Allego",52.451796,13.338099,"Berlin","Bismarckstr.","36","Steglitz-Zehlendorf","DE","12169"
"44","Allego",52.5420852,13.4389605,"Berlin","Naugarder Str.","1","Pankow","DE","10409"
"45","Allego",52.491583,13.392549,"Berlin","Solmsstr.","16","Friedrichshain/Kreuzberg","DE","10961"
"46","Allego",52.5258642,13.3010829,"Berlin","Osnabrücker Str.","26","Charlottenburg-Wilmersdorf","DE","10589"
"47","Allego",52.453059,13.315737,"Berlin","Hindenburgdamm","65 c/d","Steglitz-Zehlendorf","DE","12165"
"48","Allego",52.474377,13.454383,"Berlin","Braunschweiger Str.","1","Neukölln","DE","12055"
"49","Allego",52.558692,13.412595,"Berlin","Brennerstr.","90","Pankow","DE","13187"
"50","Allego",52.548972,13.455833,"Berlin","Herbert-Baum-Str.","4","Pankow","DE","13088"
"51","Allego",52.56623,13.405779,"Berlin","Mühlenstr.","17","Pankow","DE","13187"
"52","Allego",52.504762,13.380887,"Berlin","Bernburger Str.","34","Friedrichshain-Kreuzberg","DE","10963"
"53","Allego",52.443544,13.431949,"Berlin","Mohriner Allee","21B","Neukölln","DE","12347"
"54","Allego",52.474872,13.42787,"Berlin","Leykestr.","18","Neukölln","DE","12053"
"55","Allego",52.519745,13.269472,"Berlin","Eschenallee","1","Charlottenburg-Wilmersdorf","DE","14050"
"56","Allego",52.500491,13.437175,"Berlin","Wrangelstr.","35","Friedrichshain-Kreuzberg","DE","10997"
"57","Allego",52.464994,13.442555,"Berlin","Glasower Str.","68","Neukölln","DE","12051"
"58","Allego",52.4948,13.398243,"Berlin","Blücherstr.","19","Friedrichshain-Kreuzberg","DE","10961"
"59","Allego",52.52122,13.300289,"Berlin","Charlottenburger Ufer","1","Charlottenburg-Wilmersdorf ","DE","10587"
"60","Allego",52.501809,13.4779,"Berlin","Nöldnerstr.","9","Lichtenberg","DE","10317"
"61","Allego",52.508006,13.30175,"Berlin","Pestalozzistr.","44","Charlottenburg-Wilmersdorf","DE","10627"
"62","Allego",52.5337,13.414964,"Berlin","Kollwitzstr.","35","Pankow","DE","10405"
"63","Allego",52.543283,13.417228,"Berlin","Raumerstr.","6","Pankow","DE","10437"
"64","Allego",52.544716,13.498685,"Berlin","Bahnhofstr.","6","Lichtenberg","DE","13055"
"65","Allego",52.533827,13.442525,"Berlin","John-Schehr-Str.","66","Pankow","DE","10407"
"66","Allego",52.513068,13.288812,"Berlin","Knobelsdorffstr.","53","Charlottenburg-Wilmersdorf","DE","14059"
"67","Allego",52.523041,13.480103,"Berlin","Josef-Orlopp-Str.","4","Lichtenberg","DE","10367"
"68","Allego",52.497883,13.324219,"Berlin","Ludwigkirchstr.","6","Charlottenburg-Wilmersdorf","DE","10719"
"69","Allego",52.510247,13.329894,"Berlin","Fasanenstr.","88","Charlottenburg-Wilmersdorf","DE","10623"
"70","Allego",52.510481,13.296954,"Berlin","Suarezstr.","1","Charlottenburg-Wilmersdorf","DE","10627"
"71","Allego",52.50427,13.409668,"Berlin","Stallschreiberstr.","55","Friedrichshain-Kreuzberg","DE","10969"
"72","Allego",52.468459,13.430205,"Berlin","Emser Str.","39","Neukölln","DE","12051"
"73","Allego",52.53194,13.425677,"Berlin","Immanuelkirchstr.","14","Pankow","DE","10405"
"74","Hubject",52.483889,13.443611,"Berlin","Wildenbruchplatz","1","null","DE","12045"
"75","Hubject",52.482664,13.432248,"Berlin","Karl-Marx-Straße","62","null","DE","12043"
"76","Hubject",52.486057,13.424146,"Berlin","Hermannstraße","1","null","DE","12049"
"77","Hubject",52.477649,13.427361,"Berlin","Werbellinstraße","79","null","DE","12053"
"78","Hubject",52.523056,13.466111,"Berlin","Hermann-Blankenstein-Straße","40","null","DE","10249"
"79","Hubject",52.531126,13.468979,"Berlin","Landsberger Allee","174","null","DE","10369"
"80","Hubject",52.519067,13.416967,"Berlin","Grunerstraße","20","null","DE","10179"
"81","Hubject",52.469933,13.4435,"Berlin","Saalestraße","null","null","DE","12055"
"82","Hubject",52.473197,13.45711,"Berlin","Sonnenallee","224","null","DE","12059"
"83","Hubject",52.477748,13.447891,"Berlin","Treptower Straße","97","null","DE","12043"
"84","Hubject",52.481183,13.526469,"Berlin","Stolzenfelsstraße","1","null","DE","10318"
"85","Hubject",52.505603,13.513615,"Berlin","Einbecker Straße","119","null","DE","10315"
"86","Hubject",52.51371,13.554232,"Berlin","Kulmseestraße","4","null","DE","12683"
"87","Hubject",52.510911,13.587696,"Berlin","Planitzstraße","1","null","DE","12621"
"88","Hubject",52.511667,13.4975,"Berlin","Frankfurter Allee","248","null","DE","10365"
"89","Hubject",52.502977,13.481084,"Berlin","Stadthausstraße","null","null","DE","10317"
"90","Hubject",52.516139,13.479989,"Berlin","Normannenstr.","1","null","DE","10367"
"91","Hubject",52.47641,13.600983,"Berlin","Kastanienallee","1","null","DE","12623"
"92","Hubject",52.51289,13.612144,"Berlin","Hönower Straße","89","null","DE","12623"
"93","Hubject",52.521476,13.586226,"Berlin","Teterower Ring","43","null","DE","12619"
"94","Hubject",52.540594,13.574313,"Berlin","Hasenholzer Allee","2","null","DE","12685"
"95","Hubject",52.570076,13.566698,"Berlin","Havemannstraße","4","null","DE","12689"
"96","Hubject",52.542246,13.543413,"Berlin","Marzahner Promenade","8","null","DE","12679"
"97","Hubject",52.544444,13.519722,"Berlin","Marzahner Str.","24","null","DE","13053"
"98","Hubject",52.517707,13.417261,"Berlin","Voltairestraße","2z","null","DE","10179"
"99","Hubject",52.51579,13.41046,"Berlin","Neue Jüdenstraße","1","null","DE","10117"
"100","Hubject",52.518744,13.409136,"Berlin","Jüdenstrasse","1z","null","DE","10178"
"101","Hubject",52.509467,13.389543,"Berlin","Krausenstraße","72","null","DE","10117"
"102","Hubject",52.515846,13.389922,"Berlin","Behrensstraße","28","null","DE","10117"
"103","Hubject",52.510383,13.409065,"Berlin","Alte Jakobstraße","76","null","DE","10179"
"104","Hubject",52.548381,13.501168,"Berlin","Große-Leege-Str.","115","null","DE","13055"
"105","Hubject",52.508248,13.376504,"Berlin","Gabriele-Tergit-Promenade","1","null","DE","10963"
"106","Hubject",52.529125,13.395841,"Berlin","Torstraße","165","null","DE","10115"
"107","Hubject",52.534398,13.395824,"Berlin","Anklamer Str.","8","null","DE","10115"
"108","Hubject",52.53382,13.403185,"Berlin","Veteranenstraße","25","null","DE","10119"
"109","Hubject",52.535712,13.405008,"Berlin","Griebenowstraße","5","null","DE","10435"
"110","Hubject",52.524167,13.421389,"Berlin","Mollstraße","4","null","DE","10178"
"111","Hubject",52.522819,13.380966,"Berlin","Reinhardtstraße","32","null","DE","10117"
"112","Hubject",52.523719,13.380581,"Berlin","Schumannstr.","6","null","DE","10117"
"113","Hubject",52.523223,13.362537,"Berlin","Alt-Moabit","5","null","DE","10557"
"114","Hubject",52.520314,13.345655,"Berlin","Flensburger Straße","1","null","DE","10557"
"115","Hubject",52.51897,13.390248,"Berlin","Planckstr.","4","null","DE","10117"
"116","Hubject",52.510428,13.373844,"Berlin","Bellevuestr.","3","null","DE","10785"
"117","Hubject",52.496774,13.344862,"Berlin","Motzstraße","43","null","DE","10777"
"118","Hubject",52.501225,13.343711,"Berlin","Bayreuther Straße","36","null","DE","10789"
"119","Hubject",52.505073,13.343569,"Berlin","Burggrafenstraße","6","null","DE","10787"
"120","Hubject",52.507832,13.349137,"Berlin","Stülerstraße","11","null","DE","10787"
"121","Hubject",52.504097,13.353095,"Berlin","Lützowplatz","11z","null","DE","10785"
"122","Hubject",52.535955,13.368842,"Berlin","Boyenstr.","23","null","DE","10115"
"123","Hubject",52.528994,13.378528,"Berlin","Luisenstrasse","null","null","DE","10117"
"124","Hubject",52.475155,13.323667,"Berlin","Südwestkorso","10","null","DE","12161"
"125","Hubject",52.471708,13.328003,"Berlin","Friedrich-Wilhelm-Platz","7","null","DE","12161"
